relative_path,root,dir,name,ext,size_bytes,modified_at,is_code,is_cache,is_vendor_ultralytics,in_source_scope,loc,case_hint,variant_hint,is_output_key_artifact
codex_reports/_REPORT.md,codex_reports,codex_reports,_REPORT.md,.md,5954,2026-05-03 16:22:16,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/concrete_execution_steps.md,codex_reports,codex_reports/smart_classroom_yolo_feasibility,concrete_execution_steps.md,.md,11047,2026-04-23 19:37:22,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/feasibility_report.md,codex_reports,codex_reports/smart_classroom_yolo_feasibility,feasibility_report.md,.md,8453,2026-04-23 19:08:26,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/integration_interface_audit_20260425.md,codex_reports,codex_reports/smart_classroom_yolo_feasibility,integration_interface_audit_20260425.md,.md,5848,2026-04-25 21:07:52,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/manual_run_guide.md,codex_reports,codex_reports/smart_classroom_yolo_feasibility,manual_run_guide.md,.md,3284,2026-04-23 20:13:24,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/orchestrator.py,codex_reports,codex_reports/smart_classroom_yolo_feasibility,orchestrator.py,.py,20506,2026-04-25 18:31:55,1,0,0,1,608,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_BoxF1_curve.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_BoxF1_curve.png,.png,254008,2026-04-25 17:32:36,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_BoxPR_curve.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_BoxPR_curve.png,.png,203456,2026-04-25 17:32:36,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_BoxP_curve.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_BoxP_curve.png,.png,201478,2026-04-25 17:32:37,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_BoxR_curve.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_BoxR_curve.png,.png,245724,2026-04-25 17:32:37,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_confusion_matrix.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_confusion_matrix.png,.png,189192,2026-04-25 17:32:38,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_confusion_matrix_normalized.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_confusion_matrix_normalized.png,.png,170182,2026-04-25 17:32:37,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_effect_summary.md,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_effect_summary.md,.md,1908,2026-04-25 18:06:26,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_labels.jpg,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_labels.jpg,.jpg,125290,2026-04-25 10:10:39,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_results.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_results.png,.png,300038,2026-04-25 17:32:39,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_timeline_chart.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_timeline_chart.png,.png,67815,2026-04-25 18:05:14,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_train_batch0.jpg,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_train_batch0.jpg,.jpg,602032,2026-04-24 19:48:16,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_val_batch0_pred.jpg,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_val_batch0_pred.jpg,.jpg,573683,2026-04-25 17:32:21,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_val_batch1_pred.jpg,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_val_batch1_pred.jpg,.jpg,577481,2026-04-25 17:32:21,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_val_batch2_pred.jpg,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_val_batch2_pred.jpg,.jpg,587380,2026-04-25 17:32:22,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/e150_verifier_reliability_diagram.svg,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,e150_verifier_reliability_diagram.svg,.svg,5167,2026-04-25 17:53:35,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001/paper_image_manifest.csv,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_e150_001,paper_image_manifest.csv,.csv,4937,2026-04-25 18:05:56,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001/paper_image_manifest.csv,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001,paper_image_manifest.csv,.csv,2110,2026-04-26 12:52:06,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001/paper_pipeline_report.md,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001,paper_pipeline_report.md,.md,3434,2026-04-26 12:52:06,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001/timeline_chart.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001,timeline_chart.png,.png,129000,2026-04-26 12:52:06,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001/train1_confusion_matrix.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001,train1_confusion_matrix.png,.png,189192,2026-04-25 17:32:38,0,0,0,1,0,,,0
codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001/train1_results.png,codex_reports,codex_reports/smart_classroom_yolo_feasibility/paper_assets/run_full_paper_mainline_001,train1_results.png,.png,300038,2026-04-25 17:32:39,0,0,0,1,0,,,0
